url,formFactor,runs,performance,accessibility,best-practices,seo,first-contentful-paint,largest-contentful-paint,total-blocking-time,cumulative-layout-shift,speed-index,majorOpportunities
https://www.the-rebirth.co.uk/,desktop,3,100,96,100,100,242.141,468.347,0,0,320.89972246172425,
https://www.the-rebirth.co.uk/,mobile,3,99,96,100,100,870.031,2054.511,29,0,1037.4390129386538,
